singer	song	lyric	next_lyric
周杰伦	暗号	我想要的想做的 你比谁都了\n你想说的想给的 我全都知道	未接来电 没留言 一定是你孤单的想念\n任何人都 猜不到 这是我们的暗号
周杰伦	暗号	想吹风想自由 想要一起手牵手\n去看海绕世界流浪	我害怕你心碎没人帮你擦眼泪\n别管那是非 只要我们感觉对
陶喆	暗恋	尽管渴望再见你\n虽然只是在梦里	短暂的甜蜜\n也胜过了一辈子没有你
陶喆	暗恋	开放我所有\n我要为你怎么做你才接受我	(才接受我) 我喜欢 (我喜欢你)\n我要你 (我要你) 我爱你
马頔	傲寒	就像五十年后的那次四目相对啊\n你蒙上物是人非的眼睛	那是没有离别的风景\n忘掉名字吧 我给你一个家
陈奕迅	白玫瑰	怎么冷酷却仍然美丽 得不到的从来矜贵\n身处劣势如何不攻心计	流露敬畏试探你的法规\n即使恶梦却仍然绮丽
周杰伦	白色风车	我陪你走到最后\n能不能不要回头	你紧紧地抱住我\n说你不需要承诺
张碧晨	白芍花开	转眼多年青涩渐远\n一切恍如昨天	转过身去依然清晰的笑脸\n就像那白色的约定 纯洁而美丽
张信哲	白月光	白月光 照天涯的两端\n越圆满 越觉得孤单	擦不干 回忆里的泪光\n路太长 怎么补偿
张信哲	白月光	白月光 照天涯的两端\n在心上 却不在身旁	擦不干你当时的泪光\n路太长追不回原谅
宋冬野	斑马，斑马	斑马斑马 你回到了你的家\n可我浪费着我寒冷的年华	你的城市没有一扇门为我打开啊\n我终究还要回到路上
宋冬野	斑马，斑马	斑马斑马 你还记得我吗\n我是只会歌唱的傻瓜	斑马 斑马 你睡吧睡吧\n我会背上吉他离开北方
许嵩	半城烟沙	只为了完成一个夙愿\n还将付出几多鲜血	忠义之言\n自欺欺人的谎言
许嵩	半城烟沙	半城烟沙\n兵临池下	金戈铁马\n替谁争天下
许嵩	半城烟沙	有些爱像断线纸鸢\n结局悲余手中线	有些恨像是一个圈\n冤冤相报不了结
许嵩	半城烟沙	只为了完成一个夙愿\n 还将付出几多鲜血	忠义之言 自欺欺人的谎言\n有些情入苦难回绵 窗间月夕夕成玦
许嵩	半城烟沙	有些情入苦难回绵\n窗间月夕夕成玦	有些仇心藏却无言\n腹化风雪为刀剑
许嵩	半城烟沙	一将成\n万骨枯	多少白发送走黑发
周杰伦	半岛铁盒	铁盒的序 变成了日记\n变成了空气 演化成回忆	印象中的爱情\n好像顶不住那时间
周杰伦	半岛铁盒	走廊灯关上 书包放 走到房间窗外望\n回想刚买的书 一本名叫半岛铁盒	放在床 边堆好多\n第一页 第六页 第七页序
周杰伦	半岛铁盒	为什么这样子 你拉着我\n说你有些犹豫	怎么这样子 雨还没停\n你就撑伞要走
周杰伦	半岛铁盒	为什么这样子\n你看着我说你已经决定	我拉不住你\n他的手应该比我更暖
周杰伦	半兽人	再也没有纯白的灵魂\n自人类堕落为半兽人	我开始使用第一人称\n记录眼前所有的发生
周杰伦	半兽人	我用古老的咒语重温\n吟唱灵魂序曲寻根	面对魔界的邪吻\n不被污染的转身
张杰	半透明的墙	原谅我没有说\n心里面的寂寞	这防线总会有\n被瓦解的时候
张杰	半透明的墙	能不能容许我\n偶尔彷徨脆弱	这防线总会有\n半透明的时候
张杰	半透明的墙	反射心中勇敢\n我明白这一刻 多少逞强	如果我有盔甲般厚实胸膛\n就不怕受伤
许嵩	伴虎	来者可追\n 文过饰非	谁说你对\n我笑谁可悲
张杰	北斗星的爱	是你用温暖的双手\n带我到黑夜的出口	愿我们化作那悠然海鸥\n一起飞走永不回头
花粥	北方爷们	日子过得就像那些不眠的晚上\n他抽着芙蓉王对墙满谈着理想	北方爷们 我们都在忍受着漫长\n北方爷们 是不是高楼遮住了你的希望
花粥	北方爷们	昨日的宝马带走了他仅有的姑娘\n夜里的歌声也没有让她找到迷途的方向	阳光里他在院子中央眯着眼眺望\n在四季的风中他喝着啤酒安慰着时光 
汪峰	北京北京	我在这里欢笑我在这里哭泣\n我在这里活着也在这儿死去	我在这里祈祷 我在这里迷惘\n我在这里寻找 在这里失去 北京北京
韩红	北京的金山上	多么温暖 多么慈祥\n把我们农奴的心照亮	我们迈步走在\n社会主义幸福的大道上
林俊杰	背对背拥抱	我们背对背拥抱\n滥用沉默在咆哮	爱情来不及变老\n葬送在烽火的玩笑
林俊杰	背对背拥抱	我们背对背拥抱\n真话兜着圈子乱乱绕	只是想让我知道\n只是想让你知道 爱的警告
薛之谦	背过手	无奈的请背过手\n在梦里等斑驳轻舟	无辜的人松了手\n反正那背负都雷同
薛之谦	背过手	无奈的请背过手\n在缝里等野果成熟	无辜的人松了手\n反正那背负都雷同
薛之谦	背过手	无奈了请放下手\n等野草会出卖墙头	无耻的人伸出手\n跪多久能换来富有
林俊杰	被风吹过的夏天	如今风依旧在吹\n秋天的雨跟随	心中的热却不退 仿佛 继续闭着双眼\n熟悉的脸又会浮现在眼前
林俊杰	被风吹过的夏天	还记得昨天那个夏天\n 微风吹过的一瞬间	似乎吹翻一切\n只剩寂寞肯沉淀
蔡健雅	被驯服的象	迷雾 迷雾 在迷雾 我惊觉自己在原地踏步\n到底是谁把我心蒙住 不想再糊涂	迷路 迷路 迷了路\n我就彻底被这团迷雾困住
周杰伦	本草纲目	我表情悠哉 跳个大概\n用书法书朝代 内力传开	豪气挥正楷 给一拳对白\n结局平躺下来 看谁厉害
周杰伦	本草纲目	我表情悠哉 跳个大概\n动作轻松自在 你学不来	霓虹的招牌 调整好状态\n在华丽的城市 等待醒来
孙楠	比天更高	比天更高 我飞上云霄\n希望就在前方 	闪出万丈的光芒\n比天更高
周笔畅	笔记	我看见天空很蓝\n就像你在我身边的温暖	生命有太多遗憾\n人越成长越觉得孤单
王心凌	变成陌生人	怎么不心疼 怎么会发生\n我们两个人快变成陌生人	失恋谁不闷 都不要再问\n又醒着到清晨
林俊杰	表达爱	泪水流过 才明白\n爱不爱 原来心里早已 存在	幸福 不在千里外\n让我勇敢 表达爱
林俊杰	表达爱	我们擦身而过\n风卷起了沉睡的什么	情绪在怂恿 撑开了懵懂\n有一种冲动 yeah
林俊杰	表达爱	用表白 换一份期待\n能不能就少一点忐忑 无奈	心还 绕着你徘徊\n难道 真是爱
薛之谦	别	别下雨 别下去 别多余\n别以为他还会为你淋雨	别几句 就离去 别离去\n别让他听见你最后一句
薛之谦	别	别坦白 别让故事精彩\n别不安 只是还有习惯	别喜欢 我长期的勇敢\n别揭穿 我唯一的遗憾
薛之谦	别	别允许 别也许 别参与\n别自己和自己过不去	别一句 又一句 别造句\n别让人笑话你的遭遇
薛之谦	别	别犹豫 别偶遇 别相遇\n别一个人去看喜剧	别继续 别比喻 别治愈\n别让人看出你有多委屈
梁静茹	别在伤口撒盐	真的好想你\n你是我灿烂的黎明	寒冷的冬天哟也早已过去\n愿春色铺满你的心
张惠妹	别在伤口撒盐	你拒绝再看见晴天\n却总问离快乐有多远	爱的平衡点小心拿捏\n该醒的时候你却还想醉
蔡健雅	别找我麻烦	乌云乌云快走开\n你可知道我不常带把伞 带把伞啊	乌云乌云快走开\n感觉你在挑战我的乐观 的乐观
蔡健雅	别找我麻烦	是注定的吗 我穿上了白衬衫\n拿一杯咖啡偏在我身上倒翻	不如跑一趟\n商店它却刚打烊
林宥嘉	病态	很奇怪 你没欠他债\n付出一切也放不进他口袋	你不要 有心人的爱戴 \n只有他的敷衍才好算关怀
林俊杰	波间带	是无形的存在\n转速太快 撕开未来	空间扭曲摇摆\n讯号传开 把你找出来
陶喆	不爱	不爱就转身离开\n一个人把回忆推翻	不爱 否定了未来\n你恨我 别心软 我也不为难
周杰伦	不爱我就拉倒	离开之前 不要爱的抱抱\n反正 我又不是没有人要	哥练的胸肌如果你还想靠\n好胆你就麦造
