singer	song	lyric	next_lyric
林俊杰	你要的不是我	你要的不是我\n心碎的失去轮廓	曾经给你的感动\n只是情绪的波动
苏打绿	你在烦恼什么	没有不会淡的疤\n没有不会好的伤	没有不会停下来的绝望 你在忧郁什么啊\n时间从来不回答 生命从来不喧哗
张杰	你在哪里	我要逃离这个没有你的城市\n世界失去了你有什么意义	你在哪里你在哪里\n谁有这份荣幸做你的唯一抱紧你
张杰	你在哪里	我要逃离这个你所在的城市\n可是我的心早已被你署名	你会在哪里 我也回不去\n回忆点滴都是触目伤心都是你
张学友	你最珍贵	太多的爱怕醉\n没人疼爱再美的人也会憔悴	我会送你红色玫瑰\n你别拿一生眼泪相对
张杰	逆态度	沉默会被错误解读\n进攻是最好的防护	不被污染这质朴戴上谁的脸谱yeah\n成功不只一种配方
张杰	逆态度	自我燃烧不是狂妄\n谁要一模一样	突破平凡 突破框框\n也许有我就不一样
张杰	逆态度	成功不只一种配方\n谁要一模一样	足够梦想 足够疯狂\n也许情况就不一样
张杰	逆态度	要战出我的逆态度\n谁说人是习惯动物	不敢颠覆这世俗又算什么人物yeah\n沉默会被错误解读
张杰	逆战	我要操控我的权势 张扬我的声势\n看这场龙战在野	这战场千百热血战士\n一路向前飞驰
张杰	逆战	在这个风起云涌的战场上\n暴风少年登场	在战胜烈火重重的咆哮声\n喧闹整个世界
张杰	逆战	come on逆战 逆战来也 王牌要狂野\n闯荡宇宙摆平世界	Oh 逆战 逆战狂野\n王牌要发泄
张杰	逆战	硝烟狂飞的讯号 机甲时代正来到\n热血逆流而上	战车在发烫\n勇士也势不可挡
杨丞琳	匿名的好友	其实我的执着依然执着\n与你无关泪自行吸收	不能握的手 却比亲人更亲厚\n当所有如果都没有如果
张碧晨	年轮	世间最毒的仇恨\n是有缘却无分	可惜你从未心疼\n我的笨
张杰	年轻的战场	所有冲破捆绑的热爱\n与癫狂	今天我终于站在这\n年轻的战场
孙燕姿	年轻无极限	飞越更多空间才能体验\n不害怕改变	不一定往前追\n停住时间 享受这一分钟
李荣浩	年少有为	电视一直闪\n联络方式都还没删	你待我的好\n我却错手毁掉
李荣浩	年少有为	假如我年少有为不自卑\n懂得什么是珍贵	那些美梦\n没给你 我一生有愧
梁静茹	宁夏	宁静的夏天\n天空中繁星点点	心里头有些思念 \n思念着你的脸
梁静茹	宁夏	宁静的夏天 天空中繁星点点\n心里头有些思念	思念着你的脸\n我可以假装看不见 也可以偷偷地想念
梁静茹	宁夏	我可以假装看不见\n也可以偷偷的想念	直到让我摸到你那温暖的脸\n宁静的夏天
蔡依林	柠檬草的味道	我有更远地平线\n我们都没错	只是不适合\n我要的 我现在才懂得
蔡依林	柠檬草的味道	我们都没错\n只是不适合	亲爱的 我当时不懂得\n选择是我的 不是你给的
周杰伦	牛仔很忙	我虽然是个牛仔 在酒吧只点牛奶 \n 为什么不喝啤酒 因为啤酒伤身体	很多人不长眼睛 嚣张都靠武器\n赤手空拳就缩成蚂蚁
周杰伦	牛仔很忙	我虽然是个牛仔 在酒吧只点牛奶\n为什么不喝啤酒 因为啤酒伤身体	很多人不长眼睛\n嚣张都靠武器
周杰伦	牛仔很忙	呜啦啦啦火车笛 随着奔腾的马蹄\n小妹妹吹着口琴 夕阳下美了剪影	我用子弹写日记 介绍完了风景\n接下来换介绍我自己
汪峰	怒放的生命	曾经多少次失去了方向\n曾经多少次破灭了梦想	如今我已不再感到迷茫\n我要我的生命得到解放
汪峰	怒放的生命	我想要怒放的生命\n就像飞翔在辽阔天空	就像穿行在无边的旷野\n拥有挣脱一切的力量
张靓颖	女儿国	世上安得两全法\n不负如来不负卿	反省凡心损梵行\n从来如此莫聪明
张靓颖	女儿国	念什么善恶慈悲\n等什么望穿秋水	任来世枯朽成灰\n换今生与你相随
张靓颖	女儿国	说什么王权富贵\n怕什么戒律清规	心恋我百转千回\n快带我远走高飞
林俊杰	女儿家	甜蜜的话 可爱的傻\n不是每天都要通电话 要见我也要给我一对翅膀	有时浪漫 有空冷战\n你想我时我己在梦乡 我爱你爱我也可以变得好玩
林俊杰	女儿家	女儿家 怎么样 \n要怎么穿 要怎么想 你来管	女儿家 怎么样\n就是爱打扮 司空见惯
林俊杰	女儿家	女儿家 怎么样 \n要怎么穿要怎么想你来管	女儿家 怎么样\n就是爱打扮 司空见惯
梁静茹	暖暖	我想说其实你很好\n你自己却不知道	从来都很低调\n自信心不高
梁静茹	暖暖	我想说其实你很好 你自己却不知道\n真心的对我好 不要求回报	爱一个人希望他过更好\n打从心里暖暖的你比自己更重要
五月天	诺亚方舟	如果要告别\n如果今夜就要和一切告别	如果你只能打一通电话\n你会拨给谁
五月天	诺亚方舟	再见 草莓甜甜圈\n街角咖啡店 落下雨点	再见 黑白老照片\n回忆电影院 埋进地面
五月天	噢买尬	无猜无邪无私无瑕的友情无价\n你是买不到的奢华	天涯有天风景有风浪花有花\n再加上我有你就够啦
张韶涵	欧若拉	爱是一道光 如此美妙\n指引我们 想要的未来	魔力北极光奇幻的预言\n赶快去找不思议的爱
张韶涵	欧若拉	爱是一道光如此美妙\n指引我们想要的未来	魔力北极光奇幻的预言\n赶快去找不思议的爱
张韶涵	欧若拉	沉默一眨眼 一万年外的光年\n我相信 未来其实并不远	哭泣的眼泪是喜悦的赞美\n是因为有你能展翅高飞
张韶涵	欧若拉	爱是一道光 如此美妙\n指引我们想要的未来	魔力北极光 奇幻的预言\n赶快去找不思议的爱
张韶涵	欧若拉	爱是一道光 如此美妙\n照亮我们 勇气的未来	魔力北极光\n传说的预言
张韶涵	欧若拉	灵魂在召唤 唱着古老\n陌生熟悉的歌谣	天空在微笑\n我的世界缤纷闪耀
张韶涵	欧若拉	爱是一道光如此美妙\n照亮我们勇气的未来	魔力北极光\n传说的预言
张韶涵	潘朵拉	爱是彩色糖衣包装却没营养的药药 药药	你越是提醒自己心越是充满好奇 \n乱跳 却乱跳
张韶涵	潘朵拉	猜不透 想不到\n他内在多么轻挑	你对他死心塌地\n他对你见招拆招
张韶涵	潘朵拉	害怕寂寞去爱没意义\n因为无聊才爱更无趣	拜托你放开他放开他放开他放开他\n不然就来不及 NO NO
张韶涵	潘朵拉	爱是温柔幻觉一段换来心碎的抱抱 \n抱抱	你不懂先爱自己他怎么可能爱你 乱叫别乱叫
邓紫棋	泡沫	全都是泡沫 \n只一刹的花火	你所有承诺 全部都太脆弱\n而你的轮廓 怪我没有看破
邓紫棋	泡沫	阳光下的泡沫\n是彩色的	就像被骗的我\n是幸福的
邓紫棋	泡沫	阳光下的泡沫是彩色的\n就像被骗的我是幸福的	追究什么对错 你的谎言\n基于你还爱我  美丽的泡沫
邓紫棋	泡沫	早该知道泡沫\n一触就破	就像已伤的心\n不胜折磨
邓紫棋	泡沫	再美的花朵\n盛开过就凋落	再亮眼的星\n一闪过就堕落
邓紫棋	泡沫	爱本是泡沫\n如果能够看破 有什么难过	再美的花朵 盛开过就凋落\n再亮眼的星 一闪过就坠落
邓紫棋	泡沫	美丽的泡沫\n虽然一刹花火	你所有承诺\n虽然都太脆弱
陈奕迅	陪你度过漫长岁月	走过了人来人往\n不喜欢也得欣赏	我是沉默的存在\n不当你的世界 只作你肩膀
陈奕迅	陪你度过漫长岁月	陪你把沿路感想活出了答案\n陪你把独自孤单变成了勇敢	一次次失去又重来 我没离开\n陪伴是 最长情的告白
王心凌	陪我到以后	陪我到以后就这样一起走\n让明天有梦做 让故事有然后	陪我到以后 就这样不放手\n证明爱是真的 想听你每天 说爱我
周杰伦	飘移	所以风呼啸而过刺激\n所以我在转弯飘移	加足了马力飘到底看仔细\n零到一百公里谁敢与我为敌
张杰	平行线	你喜欢散步逛街\n我呆在家里房间 享受着不同趣味	你说着生活细节\n我才突然记起那 细微的温柔画面
张杰	平行线	我们的爱情是一条平行线\n穿梭在同个空间	让两种感觉交织灿烂画面\n就这样交汇成辽阔的世界
许嵩	平行宇宙	我梦见我轻盈自由的腾空\n随后画面切到我背着你遨游	你眼睛开始闪烁点点星光\n可能是美梦来的太突然了吧
许嵩	平行宇宙	深爱过\n 所以没有再联络	不回头\n因为勉强的笑很难受
周杰伦	蒲公英的约定	在走廊上罚站打手心\n我们却注意窗边的蜻蜓	我去到哪里你都跟很紧\n很多的梦在等待着进行
周杰伦	蒲公英的约定	一起长大的约定\n那样清晰 打过勾的我相信	说好要一起旅行\n是你如今 唯一坚持的任性
周杰伦	蒲公英的约定	一起长大的约定 那样真心\n与你聊不完的曾经	而我已经分不清\n你是友情 还是错过的爱情
周杰伦	蒲公英的约定	将愿望折纸飞机寄成信\n因为我们等不到那流星	认真投决定命运的硬币\n却不知道到底能去哪里
周杰伦	蒲公英的约定	小学篱笆旁的蒲公英\n是记忆里有味道的风景	午睡操场传来蝉的声音\n多少年后也还是很好听
许嵩	七号公园	七号公园的街灯\n熄灭的有些残忍	空虚人生 \n开始在你我之间分隔
许嵩	七号公园	樱花飞舞的初春\n半空中落英缤纷	蓝紫色桔梗\n似将画面停顿
周杰伦	七里香	秋刀鱼的滋味\n猫跟你都想了解	初恋的香味就这样被我们寻回\n那温暖的阳光像刚摘的鲜艳草莓
周杰伦	七里香	窗外的麻雀\n在电线杆上多嘴	你说这一句\n很有夏天的感觉
周杰伦	七里香	手中的铅笔\n在纸上来来回回	我用几行字形容你是我的谁\n秋刀鱼的滋味 猫跟你都想了解
周杰伦	七里香	雨下整夜\n我的爱溢出就像雨水	窗台蝴蝶\n像诗里纷飞的美丽章节
许嵩	七夕	夜幕垂 鹊桥会\n七夕的念想	皎月归 我轻随 \n烟火对影赏
许嵩	七夕	夜幕垂鹊桥会\n七夕的念想	皎月归 我轻随\n 烟火对影赏
许嵩	七夕	你歌声犹绕耳\n清风在侧	恍然发觉琴案已蒙尘\n当日罗带轻分缘定今生
林俊杰	期待爱	我猜 你早已发现我的爱\n绕几个弯 靠越近越明白	不要走开\n幸福的开始 就是放手去爱
林俊杰	期待爱	想要找回来自己的节拍 所以这一次\n我要勇敢大声说出来	期待 期待你发现我的爱\n无所不在我自然而然的关怀
华晨宇	齐天	是谁轻狂年少不枉 谁给我个信仰\n春未了月相照 有心打扰	可惜风早相见不巧
华晨宇	齐天	是谁轻狂年少不枉\n谁给我个信仰	春未了月相照\n有心打扰
薛之谦	其实	分开后我会笑着说\n当朋友问你关于我	我都会轻描淡写仿佛没爱过\n其实我根本没人说
薛之谦	其实	其实我根本没人说\n其实我没你不能活	其实我给你的爱比你想的多\n分开时难过不能说
薛之谦	其实	分开时难过不能说\n谁没谁不能好好过	那天我们走了很久没有争吵过\n分开时难过不要说
薛之谦	其实	分开时难过不要说\n如果被你一笑而过	还不如让你选择想要的生活\n分开后我会笑着说
邓紫棋	奇迹	而我的一呼一吸都想着你\n不能三言两语讲清晰	反正一哭一笑都因为你\n我的一字一句不必怀疑
许嵩	奇谈	兽皮不要掀开\n 你说能孵蛋	壁画不要破坏 \n能进博物馆
许嵩	奇谈	你靠不靠谱\n靠不靠谱	可别答复\n心里都清楚
许嵩	千百度	怅然入梦\n 梦几月 醒几年	往事凄艳\n用情浅 两手缘
许嵩	千百度	关外野店 烟火绝 客怎眠\n寒来袖间 谁为我 添两件	三四更雪 风不减 吹袭一夜\n只是可怜 瘦马未得好歇
许嵩	千百度	我寻你千百度\n 日出到迟暮	一瓢江湖我沉浮
许嵩	千百度	鹧鸪清怨\n 听得见 飞不回堂前	旧楹联红褪墨残谁来揭\n我寻你千百度 日出到迟暮
许嵩	千百度	我寻你千百度 日出到迟暮\n一瓢江湖我沉浮	我寻你千百度 又一岁荣枯\n可你从不在 灯火阑珊处
许嵩	千百度	三四更雪\n 风不减 吹袭一夜	只是可怜 瘦马未得好歇\n怅然入梦 梦几月 醒几年
许嵩	千百度	怅然入梦 梦几月 醒几年\n往事凄艳 用情浅 两手缘	鹧鸪清怨 听得见 飞不回堂前\n旧楹联红褪墨残谁来揭
许嵩	千百度	关外野店\n 烟火绝 客怎眠	寒来袖间\n谁为我 添两件
许嵩	千古	白纸画卷\n寥寥几笔绘江湖深浅	难绘你\n不染纤尘的容颜
许嵩	千古	若流芳千古\n爱的人却反目	错过了幸福\n谁又为我在乎
许嵩	千古	若流芳千古 爱的人却反目\n错过了幸福 谁又为你在乎	若贻笑千古\n因为爱得执迷又糊涂
许嵩	千古	夏蝉冬雪\n不过轮回一瞥	悟道修炼\n不问一生缘劫
许嵩	千古	夜不成眠\n心还为谁萦牵	灯火竹帘\n梦里随风摇曳
周杰伦	千里之外	我送你离开 天涯之外\n你是否还在	琴声何来生死难猜\n用一生去等待
周杰伦	千里之外	芙蓉水面采 船行影犹在\n你却不回来	被岁月覆盖 你说的花开\n 过去成空白
周杰伦	千里之外	梦醒来 是谁在窗台\n把结局打开	那薄如蝉翼的未来\n 经不起谁来拆
周杰伦	千里之外	梦醒来 \n 是谁在窗台把结局打开	那薄如蝉翼的未来 \n 经不起谁来拆
周杰伦	千里之外	我送你离开千里之外你无声黑白 \n 沉默年代或许不该太遥远的相爱	我送你离开 天涯之外 你是否还在\n琴声何来 生死难猜 用一生去等待
周杰伦	千里之外	我送你离开 千里之外\n你无声黑白	沉默年代或许不该\n太遥远的相爱
周杰伦	千里之外	故事在城外 浓雾散不开\n看不清对白	你听不出来\n风声不存在
周杰伦	千里之外	屋檐如悬崖 风铃如沧海\n我等燕归来	时间被安排\n演一场意外
飞儿乐团	千年之恋	穿越千年的哀愁\n是你在尽头等我	最美丽的感动会值得\n用一生守候
飞儿乐团	千年之恋	穿越千年的伤痛\n只为求一个结果	你留下的轮廓指引我\n黑夜中不寂寞
信乐团	千年之恋	谁在悬崖砌一壶茶\n温热前世的牵挂	而我在调整千年的时差\n爱恨全喝下
周杰伦	千山万水	梦想挟带眼泪 咸咸的汗水\n你我同个世界 爱从中穿越	梦与希望在飞 我向前去追\n有目标就不累 等着我超越
刘欢	千万次的问	你不象是在我梦里\n在梦里你是我的唯一	Time and time again you ask me\n问我到底爱不爱你
周杰伦	前世情人	什么爱 不说 就已经存在\n什么爱 望着 就全都明白	你笑 一点一点一滴漾开\n一字一句 形容不来
周杰伦	前世情人	小男孩害羞没想起\n自己是个雕像	沉浸在芦苇跟风合奏\n用美妙歌声赞扬
许嵩	浅唱	我说Vae 你要清醒\n 别再轻易掉眼泪	我说Vae 是是非非\n你要勇敢去面对
许嵩	浅唱	Dior 无所谓 该放就放\n 别让自己那么累	无所谓自由自在的飞让梦纯粹静候轮回
林忆莲	蔷薇之恋	我问你想什么\n你总不对我说	你要是爱蔷薇\n哪怕蔷薇刺多
周杰伦	乔克叔叔	听我说拿出你的钞票笑平常买不到\n先生小姐们赶快来赶快来	再慢就看不到 座位没剩多少\n 还能跟乔克叔叔拍 一张照
周杰伦	乔克叔叔	我只是卑微的小丑翻几个跟斗\n就等你拍一拍手	人群散了后夜色多朦胧\n月光也会跟着我
华晨宇	亲爱的小孩	我亲爱的小孩\n为什么你不让我看清楚	是否让风吹熄了蜡烛\n在黑暗中独自漫步
梁静茹	亲亲	轻轻的亲亲 紧紧闭着眼睛\n是你不是你说不定 还不一定	梦一样轻的亲亲\n不敢用力呼吸
许嵩	亲情式的爱情	新月 湖畔 电影 西餐 \n那些夜晚	熟悉的桥段\n冲动变平淡
许嵩	亲情式的爱情	我有多想多想多想看一眼\n你最后那天在我身边	那熟悉的脸
许嵩	青	一盏孤星陪伴着诀别的午夜\n落叶飘散着沉沦的季节	爱情像折翼的枯叶蝶\n永远飞不到微亮明天
韩红	青春	风在歌唱 唱他曾去过的地方\n在黑暗中 有朵花为你开放	当你转过头的那一瞬\n晚霞般美丽的笑脸
汪苏泷	青春白皮书	再见 再见 再见了我的爱\n记忆为你尘封	不想不痒不痛\n故事的最终
杨丞琳	青春住了谁	雏鸟站在悬崖 将翅膀晒开\n光沾着雾水 反射一些不安	有过伤 有期待 累积几次挫败\n勇气还在 等待风吹来
周杰伦	青花瓷	釉色渲染仕女图韵味被私藏\n而你嫣然的一笑如含苞待放	你的美一缕飘散\n去到我去不了的地方
周杰伦	青花瓷	素胚勾勒出青花笔锋浓转淡\n瓶身描绘的牡丹一如你初妆	冉冉檀香透过窗心事我了然\n宣纸上走笔至此搁一半
周杰伦	青花瓷	色白花青的锦鲤跃然于碗底\n临摹宋体落款时却惦记着你	你隐藏在窑烧里千年的秘密\n极细腻犹如绣花针落地
周杰伦	青花瓷	天青色等烟雨 而我在等你 月色被打捞起 晕开了结局	如传世的青花瓷\n自顾自美丽
周杰伦	青花瓷	天青色等烟雨\n而我在等你	炊烟袅袅升起\n隔江千万里
张杰	青梅竹马	有没有这样的感受\n很亲 但并不常联络	我记得 昨天的你\n彷佛还等我 在路口
张杰	青梅竹马	有一种自由它叫做青春\n有一种爱 并不必当情人	非常单纯 互相绝对信任\n彼此面前 做最自然的人
张杰	青梅竹马	有没有这样的朋友\n童年像另一个星球	发呆的你 害羞的你\n拉裙子遮住脸的你
许嵩	清明雨上	窗透初晓 日照西桥 \n云自摇	想你当年荷风微摆的衣角\n木雕流金 岁月涟漪 七年前封笔
许嵩	清明雨上	我在人间彷徨 \n寻不到你的天堂	东瓶西镜放 \n恨不能遗忘
许嵩	清明雨上	雨打湿了眼眶 年年倚井盼归堂\n最怕不觉泪已拆两行	我在人间彷徨\n寻不到你的天堂
许嵩	清明雨上	木雕流金 岁月涟漪 \n七年前封笔	因为我今生挥毫只为你\n雨打湿了眼眶 年年倚井盼归堂
许嵩	清明雨上	雨打湿了眼眶 \n年年倚井盼归堂	最怕不觉泪已拆两行\n我在人间彷徨 寻不到你的天堂
许嵩	清明雨上	又是清明雨上\n 折菊寄到你身旁	把你最爱的歌来轻轻唱\n我在人间彷徨 寻不到你的天堂
梁静茹	情歌	你写给我 我的第一首歌\n我和你 十指紧扣 默写前奏	可是那然后呢\n还好我有 我这一首情歌
梁静茹	情歌没有告诉你	那些情歌 是我为你唱过\n曾触摸的天空	没有如果 没说的\n希望你会懂
许嵩	情侣装	听说幸福很简单\n简单到时间一冲就冲淡	曾经的海枯又石烂\n抵不过你最后一句好聚好散
许嵩	情侣装	我会不会坚强\n会不会颓唐	只留寂寞陪我说说话\n不是穿上情侣装就可以装情侣
许嵩	情侣装	不是穿上情侣装\n就可以装情侣	不是模仿你的习惯就能离你更近
张学友	情书	你醉了脆弱得藏不住泪痕\n我知道绝望比冬天还寒冷	你恨自己是个怕孤独的人\n偏偏又爱上自由自私的灵魂
张学友	情书	哦 可惜爱不是几滴眼泪几封情书 哦- 这样的话也许有点残酷	等待着别人给幸福的人\n往往过得都不怎么幸福
周杰伦	晴天	为你翘课的那一天 \n 花落的那一天	教室的那一间\n我怎么看不见
周杰伦	晴天	吹着前奏 望着天空\n我想起花瓣 试着掉落	为你翘课的那一天 花落的那一天\n教室的那一间 我怎么看不见
周杰伦	晴天	从前从前 有个人爱你很久\n但偏偏 风渐渐 把距离吹得好远	好不容易 又能再多爱一天\n但故事的最后 你好像还是说了 拜拜
周杰伦	晴天	刮风这天我试过握着你手 \n 但偏偏雨渐渐大到我看你不见	还要多久我才能在你身边\n等到放晴的那天也许我会比较好一点
周杰伦	晴天	刮风这天 我试过握着你手\n但偏偏 雨渐渐 大到我看你不见	还要多久\n我才能在你身边
周杰伦	晴天	故事的小黄花\n从出生那年就飘着	童年的荡秋千\n随记忆一直晃到现在
张杰	秋天的童话	让我看得见 别遮住视线\n美丽的脸	我伸手触摸那一片蓝天\n并不遥远
张杰	秋天的童话	秋天的童话 爱情它开花\n上天最大	最重要的话 你要看着她\n勇敢告诉她
张杰	秋天的童话	云中的angel轻轻唱着谁的誓言\n我在茫茫的人海中等待你出现	满天的星星都在向往爱情的浪漫\n就在这一刻 你就是我最幸运的那个伴
张学友	秋意浓	啊 不怕相思苦\n只怕你伤痛	怨只怨人在风中\n聚散都不由我
张学友	秋意浓	秋意浓\n离人心上秋意浓	一杯酒 情绪万种\n离别多 叶落的季节离别多
张学友	秋意浓	舞秋风\n漫天回忆舞秋风	叹一声 黯然沉默\n不能说 惹泪的话都不能说
张学友	秋意浓	啊不怕相思苦\n只怕你伤痛	怨只怨人在风中\n聚散都不由我
张学友	秋意浓	不能说\n惹泪的话都不能说	紧紧拥着你 永远记得\n你曾经为我 这样的哭过
许嵩	全球变冷	如果能够多一点点微笑\n快乐也会多一点点围绕	不要等到全球变冷才觉不妙
许嵩	全球变冷	风在淅淅沥沥的雨中\n撑伞走过那路口	有人跌跌撞撞踩到我\n没说对不起借过
陈奕迅	全世界失眠	想起我不完美 你会不会\n逃离我生命的范围	想着你的滋味\n我会不会把这个枕头变得甜美
陈奕迅	全世界失眠	一个人失眠 全世界失眠\n无辜的街灯 守候明天	幸福的失眠\n只是因为害怕闭上眼
花儿乐队	鹊桥汇	树上的鸟儿成双对\n绿水青山我在想着谁	路边的野花不理会\n只盼双双鹊桥汇
张碧晨	染	怎样的色彩能表达立场 拥有无可替代的力量\n打碎凝固化思维 快逃离晦暗的包围	崭新风格怎样调配在构图中无绝对\n用什么点缀都无所谓
张杰	让你依靠	要让你依靠 不让你懊恼\n用胸膛去扛明天枪炮	做你男人的骄傲
张杰	让你依靠	要让你依靠 不让你烦恼\n用胸膛去挡谁的刺刀	我让你依靠\n这是男人肩膀的荣耀
五月天	人生海海	天天都漫无目的 \n 偏偏又想要证明真理	天天都漫无目的\n偏偏又想要证明真理
张惠妹	人质	在我心上用力的开一枪\n让一切归零在这声巨响	如果爱是说什么都不能放\n我不挣扎反正我也没差
许嵩	认错	那天午后\n 我站在你家门口	你咬咬嘴唇还是说出了分手\n我的挽留和眼泪全都没有用
许嵩	认错	你的迁就\n 我一直领悟不够	以为爱已强大的不要理由\n心开始颤抖 明白了你的难受
许嵩	认错	全是我的错\n现在认错有没有用	你说你已经不再爱我\n我带你回忆曾经快乐的时空
许嵩	认错	我的挽留和眼泪\n全都没有用	或许我应该自食这苦果\n你的迁就 我一直领悟不够
许嵩	认错	我带你回忆\n曾经快乐的时空	你只是劝我别再执着
薛之谦	认真的雪	雪下得那么深 下得那么认真\n倒映出我躺在雪中的伤痕	我并不在乎自己究竟多伤痕累累\n可我在乎今后你有谁陪
薛之谦	认真的雪	夜深人静 那是爱情\n偷偷的控制着我的心	提醒我 爱你要随时待命\n音乐安静 还是爱情啊
五月天	任意门	七号公园\n初次登场是那个三月	自强隧道 \n漫长的像永远
蔡依林	日不落	我要送你 日不落的想念\n寄出代表爱的明信片	我要送你 日不落的爱恋\n心牵着心把世界走遍
张杰	如果爱	我的心从没有搬到另一个地址	还是和你用同样一室的钥匙
张杰	如果爱	如果爱已经慢慢褪色\n两颗心都失去颜色	如果爱已是非爱不可\n又何必问他是否值得
张杰	如果爱	如果爱已经慢慢褪色	两颗心都失去颜色\n如果爱已是非爱不可
张杰	如果爱	如果爱只是拉拉扯扯	两个人都动弹不得\n如果爱已经少了快乐
张靓颖	如果爱下去	很久以前如果我们爱下去会怎样\n最后一次相信地久天长	躺在你温暖手掌不需要想象\n以后我漫长的孤单流浪
张靓颖	如果爱下去	街头那一对和我们好像\n这城市华灯初上多两个人悲剧散场	放开拥抱就各奔一方\n看着他们我就湿了眼眶
萧敬腾	如果没有你	如果没有你 我在哪里\n又有什么可惜	反正一切来不及\n反正没有了自己
汪苏泷	如果你还不明白	如果你还是不明白 我也不会再忍耐\n现实错乱的年代 谁分不清黑白	强势的情绪在澎湃\n还有什么好期待
张惠妹	如果你也听说	许多话题关于我 就连我也有听过\n我的快乐要被认可 委屈却没有人诉说	夜把心洋葱般剥落拿掉防卫剩下什么\n为什么脆弱时候想你更多
五月天	如果我们不曾相遇	那一天 那一刻 那个场景\n你出现在我生命	从此后 从人生 重新定义\n从我故事里苏醒
五月天	如果我们不曾相遇	如果我们不曾相遇\n我会是在哪里	如果我们从不曾相识\n不存在这首歌曲
张学友	如果这都不算爱	是否爱就得忍耐 不问该不该\n都怪我没能耐 转身走开	难道牺牲才精彩 伤痛才实在\n要为你流下泪来 才证明是爱
张靓颖	如果这就是爱情	你做了选择 对的错的\n我只能承认 心是痛的	怀疑你舍得 我被伤的那么深\n就放声哭了 何必再强忍
张靓颖	如果这就是爱情	如果我成全了你\n如果我能祝福你	那不是我看清\n是我证明 我爱你
张靓颖	如果这就是爱情	如果这就是爱情\n本来就不公平	你不需要讲理 \n我可以离去
张靓颖	如果这就是爱情	如果这不是结局\n如果我还爱你	如果我愿相信\n你就是唯一
张靓颖	如果这就是爱情	我没有选择 我不再完整\n原来最后的吻 如此冰冷	你只能默认 我要被割舍\n眼看着 你走了
张靓颖	如果这就是爱情	如果你听到这里\n如果你依然放弃	那这就是爱情\n我难以抗拒
五月天	如烟	七岁的那一年抓住那只蝉\n以为能抓住夏天	十七岁的那年 吻过他的脸\n就以为和他能永远
五月天	如烟	有没有那么一个世界\n永远不天黑	星星太阳万物都\n听我的指挥
梁静茹	三吋日光	希望我爱的人健康\n个性很善良	大大手掌能包容我\n小小的倔强
汪苏泷	三国杀	三分天下 为谁争霸\n如今我已剑指天涯	却只想为你抚琴\n从此无牵挂
汪苏泷	三国杀	雨一直下 风一直刮\n谁与我煮酒论天下	万箭齐发 杀气如麻\n谁忍我乱世中安家
周二珂	三角题	越来越模糊 一字一句\n抓不到重心 还是继续的 调侃 我自己	让存在不引起你的注意\n说真的你们比较像情侣
周二珂	三角题	但从未考虑和她分享\n其实我也有难言的秘密	是谁坏了天气\n是谁乱了次序
周杰伦	三年二班	眼睛你要擦亮 记住我的模样\n表情不用太紧张 我是三年二班	我专心打球的侧脸还蛮好看\n黑板是吸收知识的地方
张惠妹	三天三夜	完全都不会疲倦\n我还要再跳三天三夜	我现在的心情轻得好像可以飞\n跳起来
张惠妹	三天三夜	三天三夜的三更半夜跳舞不要停歇\n三天三夜的三更半夜飘浮只靠音乐	三天三夜的三更半夜 全身只剩汗水\n三天三夜的三更半夜 Ba Ba Ba…
许嵩	散场电影	爱情的电影 一人出局就不行\n我的泪落在你的手心	瞬间结成一块冰 爱情的电影\n散不散都没了关系
林俊杰	杀手	心情放松摇摆在你三百米之外\n数着心跳等待所有念头全抛开	锁进来 进来 这美丽的悲哀\n这是爱 就是爱全世界都不明白
林俊杰	杀手	心情停止摇摆 在你三百米之外\n感觉饥饿难耐	需要你填满空白\n锁进来 进来 这美丽的悲哀
林俊杰	莎士比亚的天份	我没有莎士比亚的天份\n写出我们的喜怒哀乐	但在这一刻 写了一个完结篇\n失去了你
林宥嘉	傻子	我不需要 也不重要\n做一个傻子多么好	我不明白\n也不需要明白
那英	山不转水转	山不转哪水在转\n水不转哪云在转	云不转哪风在转\n风不转哪心也转
许嵩	山水之间	昨夜同门云集 \n推杯又换盏	今朝茶凉酒寒\n豪言成笑谈
许嵩	山水之间	落花雨\n 你飘摇的美丽	花香氤\n把往日情勾起
许嵩	山水之间	半生累\n 尽徒然	碑文完美有谁看
许嵩	山水之间	满树玉瓣多傲然\n江南烟雨却痴缠	花飞雨追一如尘缘理还乱
周杰伦	珊瑚海	海平面远方开始阴霾\n悲伤要怎么平静纯白	我的脸上 始终挟带\n一抹浅浅的无奈
胡彦斌	闪亮的日子	你我为了理想历尽了艰苦\n我们曾经哭泣也曾共同欢笑	但愿你会记得 永远地记着\n我们曾经拥有闪亮的日子
林忆莲	伤痕	女人独有的天真 和温柔的天分\n要留给真爱你的人	不管未来多苦多难\n有他陪你完成
许嵩	伤声	你知不知道\n 我默默再祈祷	有一天\n你会回到我怀抱
许嵩	伤声	你知不知道我默默再祈祷\n有一天你会回到我怀抱	你听不听到 忧伤的歌声\n始终在我耳边轻轻萦绕
周杰伦	上海一九四三	消失的旧时光 一九四三\n在回忆的路上时间变好慢	老街坊 小弄堂\n是属于那年代白墙黑瓦的淡淡的忧伤
